[2026-05-22 22.38.33] [RESUME] Starting seeds 6,7,8,9,10 (50k steps, epsilon_decay=30k)
[INFO] Log:    logs\50k_resume_s6_10_launcher.log
[INFO] Status: logs\50k_resume_s6_10_status.json
[INFO] Seeds:  6,7,8,9,10

2026-05-22 22:38:33,805 | INFO | stock_investment_dss.system | Starting StockInvestmentDSS IQN learning curve multiseed launcher.
2026-05-22 22:38:33,805 | INFO | stock_investment_dss.system | Project root: C:\Users\gurug\Dropbox\DataScience\Speciale\D-IQN-DSS\FinRL_IQN
2026-05-22 22:38:33,810 | INFO | stock_investment_dss.run.2026_05_22_223833_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Created run directory: C:\Users\gurug\Dropbox\DataScience\Speciale\D-IQN-DSS\FinRL_IQN\outputs\runs\2026_05_22_223833_d_iqn_dss_iqn_learning_curve_multiseed_launcher
2026-05-22 22:38:33,810 | INFO | stock_investment_dss.run.2026_05_22_223833_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Run id: 2026_05_22_223833_d_iqn_dss_iqn_learning_curve_multiseed_launcher
2026-05-22 22:38:33,810 | INFO | stock_investment_dss.run.2026_05_22_223833_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Seeds: [6, 7, 8, 9, 10]
2026-05-22 22:38:33,810 | INFO | stock_investment_dss.run.2026_05_22_223833_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Stop on failure: True
2026-05-22 22:38:33,811 | INFO | stock_investment_dss.run.2026_05_22_223833_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Run summary after: True
2026-05-22 22:38:33,811 | INFO | stock_investment_dss.run.2026_05_22_223833_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Launching IQN learning curve run for seed=6
2026-05-22 22:42:44,463 | INFO | stock_investment_dss.run.2026_05_22_223833_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Seed 6 completed successfully.
2026-05-22 22:42:44,463 | INFO | stock_investment_dss.run.2026_05_22_223833_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Launching IQN learning curve run for seed=7
2026-05-22 22:47:17,128 | INFO | stock_investment_dss.run.2026_05_22_223833_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Seed 7 completed successfully.
2026-05-22 22:47:17,128 | INFO | stock_investment_dss.run.2026_05_22_223833_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Launching IQN learning curve run for seed=8
2026-05-22 22:51:54,424 | INFO | stock_investment_dss.run.2026_05_22_223833_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Seed 8 completed successfully.
2026-05-22 22:51:54,425 | INFO | stock_investment_dss.run.2026_05_22_223833_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Launching IQN learning curve run for seed=9
2026-05-22 22:56:35,649 | INFO | stock_investment_dss.run.2026_05_22_223833_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Seed 9 completed successfully.
2026-05-22 22:56:35,649 | INFO | stock_investment_dss.run.2026_05_22_223833_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Launching IQN learning curve run for seed=10
2026-05-22 23:01:15,752 | INFO | stock_investment_dss.run.2026_05_22_223833_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Seed 10 completed successfully.
2026-05-22 23:01:15,752 | INFO | stock_investment_dss.run.2026_05_22_223833_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Launching multiseed summary runner.
2026-05-22 23:01:17,274 | INFO | stock_investment_dss.run.2026_05_22_223833_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Multiseed summary completed successfully.
2026-05-22 23:01:17,275 | INFO | stock_investment_dss.run.2026_05_22_223833_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Wrote launcher summary: C:\Users\gurug\Dropbox\DataScience\Speciale\D-IQN-DSS\FinRL_IQN\outputs\runs\2026_05_22_223833_d_iqn_dss_iqn_learning_curve_multiseed_launcher\summary\iqn_learning_curve_multiseed_launcher_summary.json
2026-05-22 23:01:17,275 | INFO | stock_investment_dss.system | StockInvestmentDSS IQN learning curve multiseed launcher completed.
[2026-05-22 23.01.17] [DONE] Exit code: 0
